cluster_id,cluster_size
Cluster 25491,24
Cluster 24876,24
Cluster 54110,20
Cluster 7306,20
Cluster 41292,18
Cluster 47485,18
Cluster 35070,17
Cluster 27103,16
Cluster 5445,15
Cluster 27432,14
Cluster 17024,14
Cluster 16854,14
Cluster 13610,14
Cluster 2383,13
Cluster 64165,13
Cluster 25772,13
Cluster 29544,13
Cluster 33323,13
Cluster 29508,12
Cluster 8430,12
Cluster 6268,12
Cluster 3351,12
Cluster 23215,12
Cluster 7792,12
Cluster 44803,12
Cluster 8624,12
Cluster 16346,12
Cluster 11557,12
Cluster 41766,11
Cluster 6355,11
Cluster 29212,11
Cluster 12616,11
Cluster 40774,11
Cluster 44880,11
Cluster 25456,11
Cluster 64894,11
Cluster 3817,11
Cluster 4080,10
Cluster 6709,10
Cluster 18794,10
Cluster 28533,10
Cluster 13321,10
Cluster 26335,10
Cluster 46851,10
Cluster 7319,10
Cluster 27907,10
Cluster 5106,10
Cluster 11647,10
Cluster 7056,10
Cluster 11652,10
Cluster 45159,10
Cluster 6675,10
Cluster 29213,10
Cluster 5793,10
Cluster 3530,10
Cluster 6479,10
Cluster 37671,10
Cluster 49966,10
Cluster 11143,10
Cluster 68305,9
Cluster 7396,9
Cluster 18766,9
Cluster 840,9
Cluster 9867,9
Cluster 233,9
Cluster 3114,9
Cluster 9805,9
Cluster 38244,9
Cluster 1261,9
Cluster 26015,9
Cluster 24202,9
Cluster 43276,9
Cluster 48993,9
Cluster 42486,9
Cluster 8943,9
Cluster 1886,9
Cluster 17934,9
Cluster 14720,9
Cluster 14904,9
Cluster 13951,9
Cluster 22125,9
Cluster 22123,9
Cluster 31747,9
Cluster 14045,9
Cluster 41067,9
Cluster 15637,9
Cluster 38723,9
Cluster 31107,9
Cluster 43651,9
Cluster 15421,8
Cluster 10787,8
Cluster 1492,8
Cluster 57112,8
Cluster 51863,8
Cluster 46130,8
Cluster 4613,8
Cluster 16007,8
Cluster 21177,8
Cluster 37852,8
Cluster 64920,8
Cluster 16498,8
Cluster 60251,8
Cluster 64505,8
Cluster 19749,8
Cluster 71420,8
Cluster 12220,8
Cluster 34525,8
Cluster 67598,8
Cluster 42638,8
Cluster 44876,8
Cluster 23185,8
Cluster 54981,8
Cluster 5781,8
Cluster 38243,8
Cluster 32499,8
Cluster 4359,8
Cluster 35241,8
Cluster 67157,8
Cluster 35740,8
Cluster 36327,8
Cluster 24506,8
Cluster 67119,8
Cluster 29560,8
Cluster 19283,8
Cluster 49417,8
Cluster 53013,8
Cluster 47947,8
Cluster 21620,8
Cluster 9041,8
Cluster 12053,8
Cluster 6620,8
Cluster 14475,8
Cluster 33949,8
Cluster 15340,8
Cluster 50901,8
Cluster 30864,8
Cluster 26643,8
Cluster 28212,7
Cluster 7158,7
Cluster 46634,7
Cluster 53637,7
Cluster 41265,7
Cluster 41983,7
Cluster 55499,7
Cluster 5378,7
Cluster 7544,7
Cluster 37015,7
Cluster 13570,7
Cluster 30433,7
Cluster 68291,7
Cluster 46990,7
Cluster 33893,7
Cluster 51222,7
Cluster 128,7
Cluster 25486,7
Cluster 30420,7
Cluster 68304,7
Cluster 8678,7
Cluster 4362,7
Cluster 45131,7
Cluster 15876,7
Cluster 4023,7
Cluster 16964,7
Cluster 11708,7
Cluster 5534,7
Cluster 7757,7
Cluster 25476,7
Cluster 141,7
Cluster 44330,7
Cluster 13153,7
Cluster 47132,7
Cluster 53215,7
Cluster 6694,7
Cluster 27644,7
Cluster 28701,7
Cluster 27685,7
Cluster 3441,7
Cluster 27655,7
Cluster 31830,7
Cluster 27656,7
Cluster 35931,7
Cluster 4431,7
Cluster 21601,7
Cluster 26778,7
Cluster 36867,7
Cluster 311,7
Cluster 41026,7
Cluster 52848,7
Cluster 14636,7
Cluster 23116,7
Cluster 11613,7
Cluster 69774,7
Cluster 17039,7
Cluster 7299,7
Cluster 26312,7
Cluster 15596,7
Cluster 48404,7
Cluster 4690,7
Cluster 27704,7
Cluster 4380,7
Cluster 22205,7
Cluster 5448,7
Cluster 33050,7
Cluster 49670,7
Cluster 2386,7
Cluster 1802,7
Cluster 39706,7
Cluster 14897,7
Cluster 1636,7
Cluster 44843,7
Cluster 39883,7
Cluster 50183,7
Cluster 49248,7
Cluster 1945,7
Cluster 43904,7
Cluster 44858,7
Cluster 32570,7
Cluster 179,7
Cluster 45934,7
Cluster 23880,7
Cluster 56767,7
Cluster 40035,7
Cluster 19278,7
Cluster 36095,7
Cluster 15106,7
Cluster 33370,7
Cluster 4797,7
Cluster 4400,7
Cluster 73811,7
Cluster 69375,7
Cluster 7973,7
Cluster 12441,7
Cluster 12309,7
Cluster 44985,7
Cluster 25983,7
Cluster 44948,7
Cluster 7256,7
Cluster 18843,6
Cluster 63125,6
Cluster 57640,6
Cluster 26741,6
Cluster 1568,6
Cluster 172,6
Cluster 305,6
Cluster 16528,6
Cluster 9922,6
Cluster 22277,6
Cluster 51092,6
Cluster 25292,6
Cluster 41929,6
Cluster 15671,6
Cluster 17689,6
Cluster 20107,6
Cluster 43781,6
Cluster 35130,6
Cluster 8042,6
Cluster 8043,6
Cluster 2472,6
Cluster 66723,6
Cluster 35119,6
Cluster 59717,6
Cluster 4220,6
Cluster 15228,6
Cluster 26788,6
Cluster 27121,6
Cluster 9737,6
Cluster 4221,6
Cluster 20066,6
Cluster 31520,6
Cluster 160,6
Cluster 31173,6
Cluster 63210,6
Cluster 47688,6
Cluster 4717,6
Cluster 11367,6
Cluster 69302,6
Cluster 8208,6
Cluster 8927,6
Cluster 14815,6
Cluster 6724,6
Cluster 28456,6
Cluster 60421,6
Cluster 4897,6
Cluster 1329,6
Cluster 43739,6
Cluster 9099,6
Cluster 27890,6
Cluster 10433,6
Cluster 42296,6
Cluster 31955,6
Cluster 34609,6
Cluster 7031,6
Cluster 45424,6
Cluster 6208,6
Cluster 48554,6
Cluster 27871,6
Cluster 42345,6
Cluster 61517,6
Cluster 24924,6
Cluster 23771,6
Cluster 25666,6
Cluster 54201,6
Cluster 25087,6
Cluster 50967,6
Cluster 2120,6
Cluster 2377,6
Cluster 26093,6
Cluster 38608,6
Cluster 15353,6
Cluster 17354,6
Cluster 11057,6
Cluster 9169,6
Cluster 28893,6
Cluster 47932,6
Cluster 26533,6
Cluster 62979,6
Cluster 34063,6
Cluster 31839,6
Cluster 46083,6
Cluster 64675,6
Cluster 2001,6
Cluster 42867,6
Cluster 13445,6
Cluster 25754,6
Cluster 39089,6
Cluster 29568,6
Cluster 42410,6
Cluster 20172,6
Cluster 25721,6
Cluster 2610,6
Cluster 47958,6
Cluster 11218,6
Cluster 56607,6
Cluster 7487,6
Cluster 35356,6
Cluster 30608,6
Cluster 13482,6
Cluster 21693,6
Cluster 14327,6
Cluster 11195,6
Cluster 22359,6
Cluster 5091,6
Cluster 65247,6
Cluster 43407,6
Cluster 50886,6
Cluster 29290,6
Cluster 40104,6
Cluster 19827,6
Cluster 14755,6
Cluster 62297,6
Cluster 46551,6
Cluster 19847,6
Cluster 10681,6
Cluster 36065,6
Cluster 23173,6
Cluster 46544,6
Cluster 53451,6
Cluster 42770,6
Cluster 14981,6
Cluster 37830,6
Cluster 31729,6
Cluster 46236,6
Cluster 34201,6
Cluster 12988,6
Cluster 4107,6
Cluster 2351,6
Cluster 34204,6
Cluster 34011,6
Cluster 50103,6
Cluster 51295,6
Cluster 1555,6
Cluster 2208,6
Cluster 23852,6
Cluster 4945,6
Cluster 24212,6
Cluster 6376,6
Cluster 14166,6
Cluster 36661,6
Cluster 14733,6
Cluster 1811,6
Cluster 23896,6
Cluster 949,6
Cluster 33566,6
Cluster 51235,6
Cluster 1412,6
Cluster 10654,6
Cluster 2940,6
Cluster 556,6
Cluster 56389,6
Cluster 7108,6
Cluster 12713,6
Cluster 27453,6
Cluster 4110,6
Cluster 23394,6
Cluster 3312,6
Cluster 28070,6
Cluster 3608,6
Cluster 16662,6
Cluster 32261,6
Cluster 47549,6
Cluster 5056,6
Cluster 21928,6
Cluster 7775,6
Cluster 38232,6
Cluster 12882,6
Cluster 12718,6
Cluster 7828,6
Cluster 45593,6
Cluster 33806,6
Cluster 13989,6
Cluster 48840,6
Cluster 4523,6
Cluster 7099,6
Cluster 34874,6
Cluster 73020,6
Cluster 8223,6
Cluster 27032,6
Cluster 7225,6
Cluster 27570,6
Cluster 13073,6
Cluster 26495,6
Cluster 14792,6
Cluster 42576,6
Cluster 38369,6
Cluster 20504,6
Cluster 39740,6
Cluster 27552,6
Cluster 57612,6
Cluster 17088,6
Cluster 11474,6
Cluster 16684,6
Cluster 6937,6
Cluster 54284,6
Cluster 53725,5
Cluster 18607,5
Cluster 54668,5
Cluster 12368,5
Cluster 51004,5
Cluster 45580,5
Cluster 4689,5
Cluster 66662,5
Cluster 30155,5
Cluster 56637,5
Cluster 13734,5
Cluster 42304,5
Cluster 61286,5
Cluster 3802,5
Cluster 17506,5
Cluster 22149,5
Cluster 45569,5
Cluster 29614,5
Cluster 9491,5
Cluster 51257,5
Cluster 22157,5
Cluster 25125,5
Cluster 10799,5
Cluster 28090,5
Cluster 62924,5
Cluster 39741,5
Cluster 42174,5
Cluster 37063,5
Cluster 53752,5
Cluster 32489,5
Cluster 3591,5
Cluster 16612,5
Cluster 28804,5
Cluster 14119,5
Cluster 25341,5
Cluster 25339,5
Cluster 22131,5
Cluster 33984,5
Cluster 41099,5
Cluster 8271,5
Cluster 11008,5
Cluster 34408,5
Cluster 23994,5
Cluster 45594,5
Cluster 18441,5
Cluster 14076,5
Cluster 26462,5
Cluster 29721,5
Cluster 17550,5
Cluster 12340,5
Cluster 42897,5
Cluster 17463,5
Cluster 25403,5
Cluster 9287,5
Cluster 13772,5
Cluster 15654,5
Cluster 35584,5
Cluster 62028,5
Cluster 7411,5
Cluster 15672,5
Cluster 44232,5
Cluster 29272,5
Cluster 6533,5
Cluster 68004,5
Cluster 32498,5
Cluster 4960,5
Cluster 22257,5
Cluster 429,5
Cluster 62449,5
Cluster 9336,5
Cluster 36532,5
Cluster 52634,5
Cluster 61291,5
Cluster 48712,5
Cluster 4562,5
Cluster 8292,5
Cluster 36530,5
Cluster 23848,5
Cluster 4791,5
Cluster 25231,5
Cluster 10751,5
Cluster 53076,5
Cluster 50237,5
Cluster 13904,5
Cluster 18429,5
Cluster 19385,5
Cluster 31724,5
Cluster 42112,5
Cluster 49582,5
Cluster 22321,5
Cluster 28818,5
Cluster 37077,5
Cluster 48756,5
Cluster 13809,5
Cluster 25232,5
Cluster 13113,5
Cluster 5447,5
Cluster 34096,5
Cluster 23026,5
Cluster 40379,5
Cluster 23032,5
Cluster 7495,5
Cluster 11925,5
Cluster 13068,5
Cluster 43382,5
Cluster 11919,5
Cluster 24555,5
Cluster 4822,5
Cluster 6865,5
Cluster 66885,5
Cluster 2455,5
Cluster 29078,5
Cluster 60220,5
Cluster 23124,5
Cluster 66351,5
Cluster 16158,5
Cluster 19553,5
Cluster 13252,5
Cluster 5255,5
Cluster 35122,5
Cluster 24712,5
Cluster 7255,5
Cluster 11449,5
Cluster 30332,5
Cluster 75226,5
Cluster 19992,5
Cluster 7742,5
Cluster 39266,5
Cluster 29495,5
Cluster 32391,5
Cluster 47272,5
Cluster 37310,5
Cluster 35135,5
Cluster 58408,5
Cluster 16109,5
Cluster 54477,5
Cluster 16115,5
Cluster 56187,5
Cluster 2324,5
Cluster 16367,5
Cluster 26930,5
Cluster 7805,5
Cluster 19776,5
Cluster 447,5
Cluster 23303,5
Cluster 27459,5
Cluster 39456,5
Cluster 12990,5
Cluster 24364,5
Cluster 44680,5
Cluster 16314,5
Cluster 32284,5
Cluster 37420,5
Cluster 34150,5
Cluster 68799,5
Cluster 12780,5
Cluster 33897,5
Cluster 7871,5
Cluster 6879,5
Cluster 12646,5
Cluster 69729,5
Cluster 7947,5
Cluster 6677,5
Cluster 37818,5
Cluster 52760,5
Cluster 27003,5
Cluster 6114,5
Cluster 2317,5
Cluster 4998,5
Cluster 27487,5
Cluster 47416,5
Cluster 36102,5
Cluster 42765,5
Cluster 47421,5
Cluster 2320,5
Cluster 12692,5
Cluster 30673,5
Cluster 37737,5
Cluster 30401,5
Cluster 8670,5
Cluster 42631,5
Cluster 2502,5
Cluster 5462,5
Cluster 23733,5
Cluster 8392,5
Cluster 12078,5
Cluster 8128,5
Cluster 61505,5
Cluster 5731,5
Cluster 35355,5
Cluster 58264,5
Cluster 16750,5
Cluster 3372,5
Cluster 44440,5
Cluster 19291,5
Cluster 49755,5
Cluster 13473,5
Cluster 44447,5
Cluster 39084,5
Cluster 15908,5
Cluster 24932,5
Cluster 54209,5
Cluster 13648,5
Cluster 28896,5
Cluster 13640,5
Cluster 23760,5
Cluster 8158,5
Cluster 20267,5
Cluster 13617,5
Cluster 13616,5
Cluster 22498,5
Cluster 9146,5
Cluster 46998,5
Cluster 31934,5
Cluster 8155,5
Cluster 11107,5
Cluster 26646,5
Cluster 24036,5
Cluster 35348,5
Cluster 37964,5
Cluster 66141,5
Cluster 59579,5
Cluster 47745,5
Cluster 22510,5
