cluster_id,cluster_size
Cluster 25453,24
Cluster 24838,24
Cluster 53953,20
Cluster 7299,20
Cluster 47374,18
Cluster 41215,18
Cluster 35011,17
Cluster 27064,16
Cluster 5442,15
Cluster 13592,14
Cluster 17001,14
Cluster 16832,14
Cluster 27393,14
Cluster 2383,13
Cluster 63915,13
Cluster 33266,13
Cluster 25734,13
Cluster 29496,13
Cluster 8612,12
Cluster 44711,12
Cluster 7782,12
Cluster 8418,12
Cluster 16325,12
Cluster 29460,12
Cluster 23180,12
Cluster 3350,12
Cluster 11541,12
Cluster 3815,11
Cluster 12599,11
Cluster 41688,11
Cluster 29166,11
Cluster 44787,11
Cluster 64636,11
Cluster 6348,11
Cluster 25418,11
Cluster 40698,11
Cluster 6668,10
Cluster 4078,10
Cluster 11129,10
Cluster 49843,10
Cluster 45063,10
Cluster 29167,10
Cluster 46747,10
Cluster 37606,10
Cluster 5104,10
Cluster 11636,10
Cluster 7312,10
Cluster 6472,10
Cluster 27866,10
Cluster 26297,10
Cluster 11631,10
Cluster 5788,10
Cluster 3529,10
Cluster 6702,10
Cluster 13304,10
Cluster 18770,10
Cluster 22090,9
Cluster 6262,9
Cluster 22088,9
Cluster 38656,9
Cluster 42405,9
Cluster 48873,9
Cluster 31696,9
Cluster 43191,9
Cluster 14027,9
Cluster 15617,9
Cluster 233,9
Cluster 17910,9
Cluster 13933,9
Cluster 9853,9
Cluster 31057,9
Cluster 1886,9
Cluster 3113,9
Cluster 8930,9
Cluster 68024,9
Cluster 18742,9
Cluster 14702,9
Cluster 1261,9
Cluster 14886,9
Cluster 840,9
Cluster 7389,9
Cluster 40990,9
Cluster 38178,9
Cluster 9791,9
Cluster 25977,9
Cluster 24165,9
Cluster 52864,8
Cluster 67321,8
Cluster 4357,8
Cluster 64662,8
Cluster 32444,8
Cluster 30815,8
Cluster 49297,8
Cluster 5776,8
Cluster 4611,8
Cluster 15986,8
Cluster 38177,8
Cluster 1492,8
Cluster 51723,8
Cluster 50771,8
Cluster 35678,8
Cluster 6613,8
Cluster 44783,8
Cluster 12203,8
Cluster 29512,8
Cluster 21588,8
Cluster 16477,8
Cluster 56933,8
Cluster 64253,8
Cluster 23150,8
Cluster 34467,8
Cluster 24469,8
Cluster 15402,8
Cluster 46029,8
Cluster 9028,8
Cluster 33891,8
Cluster 66844,8
Cluster 60044,8
Cluster 66882,8
Cluster 47831,8
Cluster 14457,8
Cluster 7049,8
Cluster 10773,8
Cluster 26604,8
Cluster 42557,8
Cluster 37786,8
Cluster 36265,8
Cluster 35181,8
Cluster 12036,8
Cluster 71131,8
Cluster 21147,8
Cluster 19257,8
Cluster 54819,8
Cluster 19722,8
Cluster 15321,8
Cluster 26274,7
Cluster 48286,7
Cluster 27615,7
Cluster 69492,7
Cluster 25438,7
Cluster 23081,7
Cluster 32994,7
Cluster 27604,7
Cluster 6687,7
Cluster 44750,7
Cluster 44765,7
Cluster 4021,7
Cluster 14879,7
Cluster 15576,7
Cluster 7292,7
Cluster 19252,7
Cluster 69093,7
Cluster 141,7
Cluster 39961,7
Cluster 15088,7
Cluster 39635,7
Cluster 14618,7
Cluster 49128,7
Cluster 51090,7
Cluster 26739,7
Cluster 56589,7
Cluster 2386,7
Cluster 7249,7
Cluster 3440,7
Cluster 4360,7
Cluster 23843,7
Cluster 49550,7
Cluster 44891,7
Cluster 45035,7
Cluster 25945,7
Cluster 1945,7
Cluster 33835,7
Cluster 32515,7
Cluster 53483,7
Cluster 25448,7
Cluster 15856,7
Cluster 44855,7
Cluster 39810,7
Cluster 1636,7
Cluster 179,7
Cluster 28168,7
Cluster 4429,7
Cluster 11597,7
Cluster 47025,7
Cluster 43815,7
Cluster 36033,7
Cluster 68010,7
Cluster 33313,7
Cluster 41904,7
Cluster 7536,7
Cluster 55336,7
Cluster 73521,7
Cluster 4378,7
Cluster 7151,7
Cluster 44241,7
Cluster 5530,7
Cluster 36803,7
Cluster 5375,7
Cluster 7747,7
Cluster 28655,7
Cluster 30371,7
Cluster 17016,7
Cluster 22170,7
Cluster 4795,7
Cluster 128,7
Cluster 68023,7
Cluster 4398,7
Cluster 17671,7
Cluster 53066,7
Cluster 16941,7
Cluster 8666,7
Cluster 11692,7
Cluster 13136,7
Cluster 7963,7
Cluster 40949,7
Cluster 12424,7
Cluster 35869,7
Cluster 46883,7
Cluster 311,7
Cluster 21569,7
Cluster 4688,7
Cluster 41188,7
Cluster 27663,7
Cluster 27616,7
Cluster 13552,7
Cluster 12292,7
Cluster 36951,7
Cluster 27644,7
Cluster 30384,7
Cluster 1802,7
