cluster_id,total_selected,folds_covered
Cluster 10000,1,1
Cluster 10012,1,1
Cluster 10029,1,1
Cluster 1003,1,1
Cluster 10030,1,1
Cluster 10033,1,1
Cluster 10043,1,1
Cluster 10056,1,1
Cluster 10059,1,1
Cluster 10060,1,1
Cluster 10068,1,1
Cluster 10079,1,1
Cluster 10087,1,1
Cluster 10093,1,1
Cluster 10101,1,1
Cluster 10103,1,1
Cluster 10119,1,1
Cluster 10120,1,1
Cluster 10133,1,1
Cluster 10144,1,1
Cluster 10145,1,1
Cluster 10155,1,1
Cluster 10163,1,1
Cluster 10176,1,1
Cluster 10195,1,1
Cluster 10199,1,1
Cluster 10201,1,1
Cluster 10202,1,1
Cluster 10213,1,1
Cluster 10228,1,1
Cluster 10234,1,1
Cluster 10236,1,1
Cluster 1024,1,1
Cluster 10241,1,1
Cluster 10260,1,1
Cluster 10268,1,1
Cluster 10269,1,1
Cluster 10273,1,1
Cluster 10280,1,1
Cluster 1029,1,1
Cluster 10297,1,1
Cluster 10303,1,1
Cluster 10306,1,1
Cluster 1031,1,1
Cluster 10310,1,1
Cluster 10319,1,1
Cluster 10322,1,1
Cluster 10324,1,1
Cluster 10327,1,1
Cluster 10339,1,1
Cluster 10340,1,1
Cluster 10343,1,1
Cluster 1035,1,1
Cluster 10352,1,1
Cluster 10353,1,1
Cluster 10357,1,1
Cluster 10363,1,1
Cluster 10368,1,1
Cluster 1038,1,1
Cluster 10389,1,1
Cluster 1039,1,1
Cluster 10391,1,1
Cluster 10392,1,1
Cluster 10394,1,1
Cluster 10396,1,1
Cluster 10397,1,1
Cluster 10416,1,1
Cluster 1042,1,1
Cluster 10420,1,1
Cluster 10441,1,1
Cluster 10456,1,1
Cluster 10459,1,1
Cluster 10461,1,1
Cluster 10472,1,1
Cluster 10479,1,1
Cluster 10481,1,1
Cluster 10485,1,1
Cluster 10488,1,1
Cluster 1051,1,1
Cluster 10514,1,1
Cluster 10524,1,1
Cluster 10532,1,1
Cluster 10550,1,1
Cluster 10565,1,1
Cluster 10577,1,1
Cluster 10580,1,1
Cluster 10588,1,1
Cluster 1059,1,1
Cluster 10590,1,1
Cluster 10613,1,1
Cluster 10615,1,1
Cluster 10616,1,1
Cluster 10631,1,1
Cluster 10633,1,1
Cluster 10648,1,1
Cluster 10655,1,1
Cluster 10658,1,1
Cluster 10681,1,1
Cluster 10690,1,1
Cluster 10692,1,1
Cluster 10696,1,1
Cluster 10713,1,1
Cluster 10720,1,1
Cluster 10723,1,1
Cluster 10724,1,1
Cluster 10728,1,1
Cluster 10734,1,1
Cluster 10749,1,1
Cluster 10751,1,1
Cluster 10773,1,1
Cluster 10777,1,1
Cluster 10782,1,1
Cluster 10793,1,1
Cluster 10801,1,1
Cluster 10805,1,1
Cluster 10810,1,1
Cluster 10812,1,1
Cluster 10814,1,1
Cluster 10816,1,1
Cluster 10826,1,1
Cluster 10829,1,1
Cluster 10844,1,1
Cluster 10846,1,1
Cluster 10847,1,1
Cluster 10854,1,1
Cluster 10859,1,1
Cluster 1086,1,1
Cluster 10870,1,1
Cluster 10889,1,1
Cluster 10895,1,1
Cluster 10913,1,1
Cluster 10915,1,1
Cluster 10917,1,1
Cluster 10932,1,1
Cluster 10933,1,1
Cluster 10935,1,1
Cluster 10936,1,1
Cluster 10938,1,1
Cluster 1094,1,1
Cluster 10945,1,1
Cluster 10949,1,1
Cluster 1095,1,1
Cluster 10954,1,1
Cluster 1096,1,1
Cluster 10967,1,1
Cluster 10971,1,1
Cluster 10975,1,1
Cluster 10984,1,1
Cluster 10989,1,1
Cluster 11000,1,1
Cluster 11012,1,1
Cluster 11026,1,1
Cluster 11028,1,1
Cluster 11036,1,1
Cluster 1105,1,1
Cluster 11051,1,1
Cluster 11052,1,1
Cluster 11053,1,1
Cluster 11058,1,1
Cluster 11068,1,1
Cluster 11077,1,1
Cluster 11079,1,1
Cluster 11111,1,1
Cluster 11128,1,1
Cluster 11157,1,1
Cluster 11160,1,1
Cluster 11172,1,1
Cluster 11178,1,1
Cluster 11204,1,1
Cluster 11210,1,1
Cluster 11221,1,1
Cluster 11235,1,1
Cluster 11240,1,1
Cluster 11246,1,1
Cluster 11247,1,1
Cluster 11266,1,1
Cluster 11272,1,1
Cluster 11273,1,1
Cluster 11276,1,1
Cluster 11282,1,1
Cluster 11290,1,1
Cluster 11292,1,1
Cluster 11298,1,1
Cluster 11306,1,1
Cluster 11307,1,1
Cluster 11338,1,1
Cluster 11343,1,1
Cluster 11350,1,1
Cluster 11352,1,1
Cluster 11358,1,1
Cluster 11360,1,1
Cluster 11362,1,1
Cluster 11365,1,1
Cluster 11368,1,1
Cluster 11381,1,1
Cluster 11383,1,1
Cluster 11387,1,1
Cluster 11391,1,1
Cluster 11402,1,1
Cluster 11403,1,1
Cluster 11410,1,1
Cluster 11411,1,1
Cluster 11419,1,1
Cluster 11422,1,1
Cluster 11435,1,1
Cluster 1144,1,1
Cluster 11444,1,1
Cluster 1145,1,1
Cluster 11456,1,1
Cluster 11460,1,1
Cluster 11464,1,1
Cluster 11468,1,1
Cluster 11472,1,1
Cluster 11475,1,1
Cluster 11479,1,1
Cluster 11482,1,1
Cluster 11489,1,1
Cluster 1149,1,1
Cluster 11508,1,1
Cluster 11517,1,1
Cluster 11518,1,1
Cluster 11523,1,1
Cluster 11528,1,1
Cluster 1153,1,1
Cluster 11530,1,1
Cluster 11535,1,1
Cluster 11541,1,1
Cluster 11542,1,1
Cluster 11557,1,1
Cluster 11559,1,1
Cluster 11563,1,1
Cluster 11567,1,1
Cluster 11572,1,1
Cluster 11573,1,1
Cluster 11575,1,1
Cluster 11586,1,1
Cluster 11587,1,1
Cluster 11597,1,1
Cluster 11598,1,1
Cluster 116,1,1
Cluster 11601,1,1
Cluster 11608,1,1
Cluster 11628,1,1
Cluster 11630,1,1
Cluster 11638,1,1
Cluster 11645,1,1
Cluster 11651,1,1
Cluster 11652,1,1
Cluster 11657,1,1
Cluster 11662,1,1
Cluster 11667,1,1
Cluster 11668,1,1
Cluster 11669,1,1
Cluster 11677,1,1
Cluster 11679,1,1
Cluster 11682,1,1
Cluster 11683,1,1
Cluster 11689,1,1
Cluster 11696,1,1
Cluster 1170,1,1
Cluster 11724,1,1
Cluster 11729,1,1
Cluster 11739,1,1
Cluster 11741,1,1
Cluster 11745,1,1
Cluster 11768,1,1
Cluster 11774,1,1
Cluster 1178,1,1
Cluster 11783,1,1
Cluster 11800,1,1
Cluster 11801,1,1
Cluster 11811,1,1
Cluster 11813,1,1
Cluster 11816,1,1
Cluster 11825,1,1
Cluster 11827,1,1
Cluster 11831,1,1
Cluster 11832,1,1
Cluster 1184,1,1
Cluster 11851,1,1
Cluster 11852,1,1
Cluster 11867,1,1
Cluster 11869,1,1
Cluster 1187,1,1
Cluster 11870,1,1
Cluster 1188,1,1
Cluster 11884,1,1
Cluster 11885,1,1
Cluster 11903,1,1
Cluster 11907,1,1
Cluster 11910,1,1
Cluster 11911,1,1
Cluster 11915,1,1
Cluster 11916,1,1
Cluster 11941,1,1
Cluster 11954,1,1
Cluster 11975,1,1
Cluster 11980,1,1
Cluster 11986,1,1
Cluster 11989,1,1
Cluster 11993,1,1
Cluster 12013,1,1
Cluster 1203,1,1
Cluster 12048,1,1
Cluster 12051,1,1
Cluster 12052,1,1
Cluster 12064,1,1
Cluster 12070,1,1
Cluster 12071,1,1
Cluster 12080,1,1
Cluster 12089,1,1
Cluster 12091,1,1
Cluster 12092,1,1
Cluster 12096,1,1
Cluster 121,1,1
Cluster 1210,1,1
Cluster 12100,1,1
Cluster 12107,1,1
Cluster 12108,1,1
Cluster 12113,1,1
Cluster 12120,1,1
Cluster 12126,1,1
Cluster 12130,1,1
Cluster 12132,1,1
Cluster 12135,1,1
Cluster 12145,1,1
Cluster 12146,1,1
Cluster 12148,1,1
Cluster 1215,1,1
Cluster 12155,1,1
Cluster 12159,1,1
Cluster 12172,1,1
Cluster 12179,1,1
Cluster 12180,1,1
Cluster 12186,1,1
Cluster 12206,1,1
