C,gamma,w_pos,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,MCC_mean,MCC_std,ACC_mean,ACC_std
0.01,0.0001,1.0,0.8786863538898018,0.009763527652471368,0.7788936137151465,0.01650442852372275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0001,1.5,0.8836745243373221,0.012237066518493128,0.783679156987913,0.017699473027143586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0001,2.0,0.8822577843454192,0.012103398934896387,0.780411508640549,0.018472349681196782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0001,2.5,0.875845378303193,0.012470686439884034,0.773930146744483,0.017159426503354554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0001,3.0,0.8225161311081945,0.012302806970871407,0.7308377572556763,0.018077876244205943,0.40429134152794666,0.003268446866261962,0.2537065252429841,0.002509381333249849,0.9947540419676641,0.007183388224204191,0.0590105580306878,0.025997386274410818,0.26708161334709324,0.010176052791262742
0.01,0.0001,4.0,0.853397943533686,0.012883476857126697,0.7438549850074755,0.01666553046326444,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.00018836490894898002,1.0,0.8764599530807239,0.011810087300780672,0.7783058997204453,0.01652846256384729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.00018836490894898002,1.5,0.8776786646430942,0.013364881597014783,0.7791028850645124,0.017418634316516076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.00018836490894898002,2.0,0.8738069817305354,0.013817862709101198,0.774324322595852,0.019029097437543798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.00018836490894898002,2.5,0.8613970476064422,0.01278849671960777,0.7624457649788409,0.017053893583101342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.00018836490894898002,3.0,0.7930881045842357,0.011490922077497896,0.6997383480823542,0.022439563286360764,0.40389468748353996,0.004054609375743813,0.2539953935919776,0.0028391412437971434,0.9855607155142758,0.008518675731002835,0.05020630526440171,0.03427741579347324,0.2726694186446509,0.009118346116108688
0.01,0.00018836490894898002,4.0,0.8319877721077991,0.013493325429531139,0.7261707693745791,0.020227508894111235,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.0003548133892335753,1.0,0.870147632669988,0.01332577385870961,0.7728824064698536,0.01624796821662803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0003548133892335753,1.5,0.8690533031348637,0.014039179427290382,0.7727112766038023,0.01640991970020113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0003548133892335753,2.0,0.8639077645348106,0.01544689209661801,0.7668240775544309,0.019146274562750813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0003548133892335753,2.5,0.8403009353926544,0.015954701294263046,0.7456262368872938,0.018253624240615187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0003548133892335753,3.0,0.7653576751176153,0.012164433681830412,0.662802793018408,0.026718547957304186,0.404218932417934,0.005626096805813726,0.25578454922127836,0.003947329783145229,0.963218094255246,0.010946373030506976,0.05193468314198613,0.03525621236052341,0.29008212934296523,0.011792860463906653
0.01,0.0003548133892335753,4.0,0.8081363896331117,0.013292139252052365,0.7037361741659549,0.026674787330175097,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.0006683439175686149,1.0,0.862022144751348,0.013244222905276127,0.7688878678537123,0.014996477007297856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0006683439175686149,1.5,0.8578899958354285,0.015778961870408816,0.7641789953210767,0.01636905378639583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0006683439175686149,2.0,0.8461947688376753,0.01661335486557152,0.7529523323467451,0.018179343267016645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0006683439175686149,2.5,0.8024251420167058,0.016106651461836007,0.7102637983454659,0.025475154013884973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0006683439175686149,3.0,0.7431350981396024,0.013098013460262152,0.6304573794548992,0.03229968564741143,0.4140077847507171,0.005504780952926461,0.26942618082497993,0.0038207480024035415,0.8935758513931888,0.01410549300975821,0.09876861401754725,0.018446113418254955,0.36759115927072583,0.009682821757184448
0.01,0.0006683439175686149,4.0,0.7853055636367889,0.012877147875761705,0.6791232464607347,0.030795465398790998,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
