,baseline_mean,baseline_std,cost_mean,cost_std
baseline_Accuracy,0.8265314378178455,0.006276715910889076,,
baseline_Precision,0.7494473306627911,0.03296684902968724,,
baseline_Recall,0.4627747084100675,0.03307308441623192,,
baseline_F1,0.5711180339688371,0.021728029094273946,,
baseline_MCC,0.49209390921217927,0.02008354691519452,,
baseline_Specificity,0.8411362905987362,0.007004273289143309,,
baseline_AUROC,0.8226495813602659,0.014072647322176649,,
baseline_AUPRC,0.6742024820609867,0.013612063195553276,,
cost_thr,,,0.5145,0.04078909167902615
cost_Accuracy,,,0.83152758514409,0.004084401502245238
cost_Precision,,,0.7576568237449256,0.0385154359498531
cost_Recall,,,0.4860405156537754,0.056602920566907286
cost_F1,,,0.5891564138909355,0.02994979788571346
cost_MCC,,,0.5106794684278355,0.016287951807816912
cost_Specificity,,,0.8470407366142924,0.011930853382140076
cost_AUROC,,,0.8234027281923704,0.01325982819230736
cost_AUPRC,,,0.6746877902639212,0.013246678792051667
