iter	Passed	Remaining
0	17	840
1	23	561
2	29	464
3	35	409
4	41	374
5	47	351
6	54	332
7	60	316
8	66	301
9	72	289
10	78	279
11	84	268
12	90	258
13	97	249
14	103	240
15	109	233
16	115	225
17	122	217
18	128	209
19	134	201
20	140	194
21	146	186
22	155	183
23	162	176
24	170	170
25	176	163
26	182	155
27	188	148
28	194	141
29	201	134
30	207	126
31	213	119
32	219	112
33	225	105
34	230	98
35	236	91
36	241	84
37	246	77
38	258	72
39	273	68
40	292	64
41	297	56
42	302	49
43	307	41
44	313	34
45	318	27
46	323	20
47	328	13
48	333	6
49	339	0
