protein,label
NIP3,1
tr|Q572J9|Q572J9_PHYIN,1
tr|Q572G5|Q572G5_PHYIN,1
tr|Q572H4|Q572H4_PHYIN,1
sp|A0A3B7TNF2|BLN04_BRELC,1
tr|D0NNF5|D0NNF5_PHYIT,1
tr|A0A329SC59|A0A329SC59_9STRA,1
NFTP_OFTP_SPD7,1
tr|A0A329SQY9|A0A329SQY9_9STRA,1
NFTP_OFTP_W2MG57|PHI7911|Ppxyn1,1
tr|G4YJ04|G4YJ04_PHYSP,1
tr|A0A329RTP9|A0A329RTP9_9STRA,1
NFTP_OFTP_Avr5_Cladosporium_fulvum,1
Pep1,1
tr|Q572E4|Q572E4_PHYIN,1
NFTP_OFTP_ToxA,1
Pwl2,1
Avrblb2,1
RTP1,1
NFTP_OFTP_AvrM14,1
tr|D0NND9|D0NND9_PHYIT,1
SIX5,1
tr|G4Z2R8|G4Z2R8_PHYSP,1
tr|G4ZCT0|G4ZCT0_PHYSP,1
sp|P0CV14|RLR48_PLAVT,1
NFTP_EGTP_positive25|1,1
NFTP_OFTP_Q0R411|PHI6417|Sm1,1
NFTP_EGTP_positive2|1,1
Avh18a1,1
tr|A0A329S5L0|A0A329S5L0_9STRA,1
MISSP7.6,1
tr|F8UNP8|F8UNP8_PHYCP,1
EPI10,1
NFTP_OFTP_Cgfl_Extracellular_metalloproteinase_mep_Colletotrichum_graminicola,1
tr|G4Z9L0|G4Z9L0_PHYSP,1
tr|A0A329SR95|A0A329SR95_9STRA,1
NFIP_OFITP_Ecp7,1
tr|D0NA30|D0NA30_PHYIT,1
PIIN_08944,1
NFIP_OFITP_PIIN_08944,1
tr|Q572H0|Q572H0_PHYIN,1
A_Pemg1,1
tr|A0A329S1W3|A0A329S1W3_9STRA,1
tr|A0A329RL14|A0A329RL14_9STRA,1
NFTP_OFTP_O94196|PHI458|Mhp1,1
sp|A0A3B7TNW2|BLC01_BRELC,1
tr|A0A329T0A2|A0A329T0A2_9STRA,1
NFTP_OFTP_Q4WMA6|PHI4016|Cfmb,1
tr|G4ZAQ1|G4ZAQ1_PHYSP,1
tr|Q572I9|Q572I9_PHYIN,1
PiAvr2a,1
NFTP_EGTP_positive28|1,1
PpEC23,1
tr|G5AAR3|G5AAR3_PHYSP,1
tr|G5A541|G5A541_PHYSP,1
tr|Q572E3|Q572E3_PHYIN,1
tr|Q572G1|Q572G1_PHYIN,1
NFTP_OFTP_O59937|PHI569|Xyl3,1
tr|A1Y153|A1Y153_9STRA,1
tr|G4YF67|G4YF67_PHYSP,1
NIP1,1
tr|G4YRT0|G4YRT0_PHYSP,1
sp|A0A172M4M8|RLR5_PLAVT,1
NFTP_OFTP_AvrM,1
NFTP_OFTP_AvrP123,1
sp|P0CV12|RLR45_PLAVT,1
tr|Q572H5|Q572H5_PHYIN,1
tr|G4ZYW6|G4ZYW6_PHYSP,1
NFTP_OFTP_P52751|PHI15|Mpg1,1
tr|F6MF02|F6MF02_HYAAB,1
tr|D0NIA8|D0NIA8_PHYIT,1
tr|D0MXC8|D0MXC8_PHYIT,1
NFTP_OFTP_NIP2,1
tr|Q572L0|Q572L0_PHYIN,1
tr|A0A3F2YED2|A0A3F2YED2_BRELC,1
tr|G4ZN60|G4ZN60_PHYSP,1
tr|G3C9P1|G3C9P1_HYAAE,1
tr|A0A329RM03|A0A329RM03_9STRA,1
tr|A0A090B862|A0A090B862_HYAAE,1
ATR5,1
NFTP_OFTP_ECP5_Cladosporium_fulvum,1
tr|E0W4W9|E0W4W9_PHYSO,1
BAS3,1
NFTP_OFTP_BAS107,1
tr|A0A833WDY7|A0A833WDY7_PHYIN,1
tr|A0A0M5ILE5|A0A0M5ILE5_9STRA,1
tr|A0A329RC18|A0A329RC18_9STRA,1
Cgfl,1
FGL1,1
NFTP_EGTP_positive3|1,1
tr|A0A329S8A1|A0A329S8A1_9STRA,1
NFTP_OFTP_Q99174|PHI2849|Cuta,1
sp|Q2M3Z7|CRN16_PHYIN,1
NFIP_OFITP_AOS49611.1,1
tr|Q572E8|Q572E8_PHYIN,1
tr|A0A329R9B0|A0A329R9B0_9STRA,1
NFTP_OFTP_AvrPib,1
tr|A0A329RDN1|A0A329RDN1_9STRA,1
tr|G5A723|G5A723_PHYSP,1
tr|Q572D4|Q572D4_PHYIN,1
NFTP_OFTP_NIP1,1
C_MoHTR1,1
tr|Q572L9|Q572L9_PHYIN,1
tr|A0A329T1B7|A0A329T1B7_9STRA,1
AvrLm1,1
ATR1,1
NFTP_EGTP_positive4|1,1
tr|Q572G0|Q572G0_PHYIN,1
tr|A0A329T4P0|A0A329T4P0_9STRA,1
tr|Q572K3|Q572K3_PHYIN,1
sp|A0A182BSS4|RLR61_PLAVT,1
tr|A0A0W8D9Y8|A0A0W8D9Y8_PHYNI,1
tr|A0A329S9F3|A0A329S9F3_9STRA,1
PcF,1
NFTP_OFTP_Tin2_Ustilago_maydis_,1
Avr1_PITG_16663,1
tr|A0A329S007|A0A329S007_9STRA,1
tr|A0A329RYV8|A0A329RYV8_9STRA,1
tr|A0A833S8X0|A0A833S8X0_PHYIN,1
NFTP_OFTP_SPD10,1
AvrPib,1
VdSCP41,1
NFTP_OFTP_Cmu1_Ustilago_maydis,1
NFTP_OFTP_SIX3,1
NFTP_OFTP_N1J904|PHI4622|Csep0105,1
NFTP_OFTP_NEP1,1
tr|M4BZM1|M4BZM1_HYAAE,1
tr|Q572F5|Q572F5_PHYIN,1
tr|G4ZTM5|G4ZTM5_PHYSP,1
NFTP_OFTP_AvrLm1_Leptosphaeria_maculans,1
tr|Q572G7|Q572G7_PHYIN,1
PstSCR1,1
tr|A0A329SYX8|A0A329SYX8_9STRA,1
NFTP_OFTP_MoCDIP4,1
ATR39-1,1
NFTP_OFTP_CgEP1_Colletotrichum_graminicola,1
tr|G4ZNY0|G4ZNY0_PHYSP,1
tr|D0N0R0|D0N0R0_PHYIT,1
tr|D0N8M0|D0N8M0_PHYIT,1
tr|A0A329SDF5|A0A329SDF5_9STRA,1
tr|Q572C7|Q572C7_PHYIN,1
NFTP_OFTP_MoCDIP3,1
tr|G4Z6L2|G4Z6L2_PHYSP,1
tr|G4ZF61|G4ZF61_PHYSP,1
sp|M4C4U1|RX106_HYAAE,1
tr|G4ZN92|G4ZN92_PHYSP,1
NFTP_OFTP_Q00298|PHI69|Cuta,1
sp|P0CV29|RLR83_PLAVT,1
ECP6,1
Avr1-CO39,1
AvrP4,1
NIP2,1
C_BEC4,1
tr|A7L813|A7L813_PHYSO,1
tr|Q572G8|Q572G8_PHYIN,1
tr|A0A329REJ1|A0A329REJ1_9STRA,1
tr|G5A4J3|G5A4J3_PHYSP,1
NFIP_OFITP_CSEP-07,1
tr|D0NF80|D0NF80_PHYIT,1
NFTP_OFTP_O42830|PHI660|Cbel(gp34),1
NFIP_OFITP_CSEP_09,1
tr|A0A329RGY5|A0A329RGY5_9STRA,1
tr|A0A329RJE2|A0A329RJE2_9STRA,1
tr|A0A329S5M9|A0A329S5M9_9STRA,1
tr|G5A9K1|G5A9K1_PHYSP,1
tr|Q572J1|Q572J1_PHYIN,1
ATR13,1
